Date,Open,High,Low,Close,Adj Close,Volume
2016-10-14,2.060000,2.140000,2.060000,2.140000,2.005635,400
2016-10-17,2.140000,2.140000,2.140000,2.140000,2.005635,0
2016-10-18,2.150000,2.150000,2.150000,2.150000,2.015007,45200
2016-10-19,2.160000,2.160000,2.160000,2.160000,2.024379,5200
2016-10-20,2.200000,2.240000,2.190000,2.240000,2.099356,12900
2016-10-21,2.240000,2.240000,2.240000,2.240000,2.099356,6300
2016-10-24,2.230000,2.230000,2.230000,2.230000,2.089984,800
2016-10-25,2.200000,2.250000,2.200000,2.250000,2.108728,4700
2016-10-26,2.190000,2.190000,2.190000,2.190000,2.052495,7500
2016-10-27,2.290000,2.330000,2.290000,2.310000,2.164961,16300
2016-10-28,2.300000,2.320000,2.300000,2.310000,2.164961,525700
2016-10-31,2.290000,2.350000,2.290000,2.350000,2.202449,1100
2016-11-01,2.350000,2.350000,2.350000,2.350000,2.202449,0
2016-11-02,2.270000,2.270000,2.200000,2.200000,2.061868,4800
2016-11-03,2.280000,2.350000,2.270000,2.270000,2.127472,2300
2016-11-04,2.220000,2.280000,2.220000,2.280000,2.136844,3800
2016-11-07,2.260000,2.280000,2.260000,2.270000,2.127472,12800
2016-11-08,2.250000,2.250000,2.250000,2.250000,2.108728,15500
2016-11-09,2.310000,2.400000,2.310000,2.380000,2.230566,96000
2016-11-10,2.520000,2.520000,2.490000,2.510000,2.352403,260600
2016-11-11,2.510000,2.530000,2.500000,2.500000,2.343031,159400
2016-11-14,2.630000,2.640000,2.610000,2.610000,2.446125,47900
2016-11-15,2.600000,2.630000,2.590000,2.620000,2.455497,35100
2016-11-16,2.670000,2.670000,2.580000,2.660000,2.492985,348200
2016-11-17,2.660000,2.660000,2.660000,2.660000,2.492985,26900
2016-11-18,2.590000,2.590000,2.590000,2.590000,2.427380,1300
2016-11-21,2.600000,2.600000,2.600000,2.600000,2.436753,2600
2016-11-22,2.600000,2.600000,2.600000,2.600000,2.436753,0
2016-11-23,2.640000,2.640000,2.630000,2.630000,2.464869,224200
2016-11-25,2.650000,2.650000,2.650000,2.650000,2.483613,13400
2016-11-28,2.600000,2.600000,2.600000,2.600000,2.436753,15600
2016-11-29,2.640000,2.700000,2.640000,2.700000,2.530474,124800
2016-11-30,2.670000,2.670000,2.670000,2.670000,2.502357,3700
2016-12-01,2.710000,2.790000,2.680000,2.680000,2.511730,120800
2016-12-02,2.680000,2.680000,2.680000,2.680000,2.511730,2700
2016-12-05,2.740000,2.810000,2.720000,2.810000,2.633567,272000
2016-12-06,2.840000,2.840000,2.840000,2.840000,2.661684,89000
2016-12-07,2.900000,2.940000,2.900000,2.930000,2.746033,65200
2016-12-08,2.950000,3.020000,2.940000,2.950000,2.764777,621900
2016-12-09,3.020000,3.020000,2.890000,2.900000,2.717916,309300
2016-12-12,2.900000,2.900000,2.870000,2.870000,2.689800,3600
2016-12-13,2.890000,2.980000,2.850000,2.980000,2.792893,11100
2016-12-14,2.910000,2.910000,2.910000,2.910000,2.727288,2700
2016-12-15,2.950000,2.950000,2.850000,2.850000,2.671055,12000
2016-12-16,2.810000,2.820000,2.790000,2.790000,2.614823,31000
2016-12-19,2.730000,2.730000,2.730000,2.730000,2.558590,2500
2016-12-20,2.780000,2.900000,2.780000,2.900000,2.717916,33700
2016-12-21,2.790000,2.900000,2.790000,2.900000,2.717916,11400
2016-12-22,2.800000,2.880000,2.760000,2.800000,2.624195,68100
2016-12-23,2.690000,2.870000,2.690000,2.860000,2.680428,26200
2016-12-27,2.710000,2.710000,2.710000,2.710000,2.539846,2700
2016-12-28,2.710000,2.710000,2.710000,2.710000,2.539846,103800
2016-12-29,2.690000,2.720000,2.680000,2.690000,2.521101,274200
2016-12-30,2.720000,2.720000,2.670000,2.680000,2.511730,18400
2017-01-03,2.890000,2.890000,2.820000,2.820000,2.642939,3900
2017-01-04,2.830000,2.890000,2.830000,2.890000,2.708544,3900
2017-01-05,2.870000,2.870000,2.840000,2.850000,2.671055,4500
2017-01-06,2.860000,2.880000,2.840000,2.840000,2.661684,54900
2017-01-09,2.870000,2.870000,2.790000,2.870000,2.689800,206600
2017-01-10,2.870000,2.870000,2.870000,2.870000,2.689800,0
2017-01-11,2.870000,2.870000,2.870000,2.870000,2.689800,0
2017-01-12,2.790000,2.820000,2.780000,2.820000,2.642939,63700
2017-01-13,2.820000,2.820000,2.820000,2.820000,2.642939,0
2017-01-17,2.860000,2.860000,2.860000,2.860000,2.680428,2100
2017-01-18,2.740000,2.760000,2.740000,2.760000,2.586706,12600
2017-01-19,2.840000,2.850000,2.840000,2.850000,2.671055,6600
2017-01-20,2.760000,2.760000,2.760000,2.760000,2.586706,400
2017-01-23,2.840000,2.840000,2.840000,2.840000,2.661684,800
2017-01-24,2.890000,2.890000,2.890000,2.890000,2.708544,6500
2017-01-25,2.900000,2.950000,2.870000,2.870000,2.689800,106400
2017-01-26,2.870000,2.870000,2.870000,2.870000,2.689800,0
2017-01-27,2.860000,2.860000,2.850000,2.850000,2.671055,2400
2017-01-30,2.790000,2.790000,2.740000,2.740000,2.567962,6200
2017-01-31,2.740000,2.740000,2.740000,2.740000,2.567962,0
2017-02-01,2.770000,2.770000,2.770000,2.770000,2.596078,3300
2017-02-02,2.730000,2.800000,2.730000,2.800000,2.624195,12800
2017-02-03,2.840000,2.880000,2.840000,2.880000,2.699172,1900
2017-02-06,2.850000,2.850000,2.790000,2.790000,2.614823,26500
2017-02-07,2.780000,2.860000,2.780000,2.860000,2.680428,2700
2017-02-08,2.800000,2.800000,2.740000,2.780000,2.605451,19100
2017-02-09,2.830000,2.830000,2.820000,2.830000,2.652312,12400
2017-02-10,2.830000,2.830000,2.830000,2.830000,2.652312,5900
2017-02-13,2.830000,2.830000,2.830000,2.830000,2.652312,0
2017-02-14,2.910000,2.920000,2.900000,2.900000,2.717916,167400
2017-02-15,2.900000,2.900000,2.900000,2.900000,2.717916,0
2017-02-16,2.950000,2.960000,2.920000,2.940000,2.755405,19600
2017-02-17,2.900000,2.980000,2.900000,2.980000,2.792893,10300
2017-02-21,2.980000,2.980000,2.980000,2.980000,2.792893,0
2017-02-22,2.950000,2.950000,2.890000,2.890000,2.708544,7500
2017-02-23,2.860000,2.860000,2.860000,2.860000,2.680428,5800
2017-02-24,2.780000,2.800000,2.770000,2.770000,2.596078,4000
2017-02-27,2.820000,2.820000,2.770000,2.770000,2.596078,800
2017-02-28,2.800000,2.800000,2.770000,2.770000,2.596078,3000
2017-03-01,2.850000,2.850000,2.810000,2.820000,2.642939,105300
2017-03-02,2.800000,2.800000,2.770000,2.770000,2.619299,6100
2017-03-03,2.820000,2.820000,2.820000,2.820000,2.666579,3300
