Category,Ticker,Year,InitialInvestment,TotalGains,InvestmentGrowth,PeriodVolatility,CoefficientOfVariation
losers,ADS,3,3000,1553.9700660000008,51.79900220000002,34.02803804998788,15.945016805095955
losers,ADS,4,1000,1091.5100959999986,109.15100959999987,35.41799644196087,16.159758173398806
losers,ADS,4,2000,1133.700010999999,56.685000549999955,35.41799644196087,16.159758173398806
losers,ADS,4,3000,2134.8899610000008,71.16299870000003,35.41799644196087,16.159758173398806
losers,ADS,5,1000,1696.289953999998,169.6289953999998,41.34903738221579,17.829233317835865
losers,ADS,5,2000,2781.489883999997,139.07449419999983,41.34903738221579,17.829233317835865
losers,ADS,5,3000,2740.4200480000027,91.34733493333343,41.34903738221579,17.829233317835865
losers,BCLYF,0.5,1000,0,0.0,0.1331349238047926,6.78737624900015
losers,BCLYF,0.5,2000,0,0.0,0.1331349238047926,6.78737624900015
losers,BCLYF,0.5,3000,1.3099999999999454,0.04366666666666485,0.1331349238047926,6.78737624900015
losers,BCLYF,1,1000,0,0.0,0.15812099479823646,7.783077121393804
losers,BCLYF,1,2000,0,0.0,0.15812099479823646,7.783077121393804
losers,BCLYF,1,3000,0,0.0,0.15812099479823646,7.783077121393804
losers,BCLYF,2,1000,0.4900000000000091,0.04900000000000091,0.3495199456614314,14.986477194263939
losers,BCLYF,2,2000,0,0.0,0.3495199456614314,14.986477194263939
losers,BCLYF,2,3000,0,0.0,0.3495199456614314,14.986477194263939
losers,BCLYF,3,1000,0,0.0,0.3435050117743094,14.177694370566662
losers,BCLYF,3,2000,0,0.0,0.3435050117743094,14.177694370566662
losers,BCLYF,3,3000,-176.4700000000048,-5.882333333333493,0.3435050117743094,14.177694370566662
losers,BCLYF,4,1000,3.669999999999277,0.3669999999999277,0.48692285052305745,19.32424288805547
losers,BCLYF,4,2000,6.229999999999563,0.3114999999999782,0.48692285052305745,19.32424288805547
losers,BCLYF,4,3000,0,0.0,0.48692285052305745,19.32424288805547
losers,BCLYF,5,1000,6.9699999999998,0.69699999999998,0.7012641933103385,25.14796805301528
losers,BCLYF,5,2000,0,0.0,0.7012641933103385,25.14796805301528
losers,BCLYF,5,3000,0,0.0,0.7012641933103385,25.14796805301528
